127.0.0.1 - - [09/Nov/2020:16:06:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:06:22 +0530] "GET /Lawyers/ HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:06:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:08:08 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:08:33 +0530] "POST /Lawyers/register-servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:08:34 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:16:39 +0530] "POST /Lawyers/register-servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:16:39 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:26:27 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:27:06 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:27:09 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:27:26 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:27:55 +0530] "POST /Lawyers/register-servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:27:56 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:31:19 +0530] "POST /Lawyers/register-servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:31:20 +0530] "GET /Lawyers/register.jsp HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:32:34 +0530] "GET /EmployeeInfo/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:34:56 +0530] "GET /EmployeeInfo/new HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:35:09 +0530] "POST /EmployeeInfo/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Nov/2020:16:35:09 +0530] "GET /EmployeeInfo/ HTTP/1.1" 200 971
